id,name,lat,lng,city_slug,category
"5061","De Ganzenhoedster restaurant","52.6608627","6.7408141","coevorden","restaurant"
"942","Café Kanaalzicht","52.0901222","5.0905495","utrecht","restaurant"
"4125","strandpaviljoen TXIKI","51.5571663","3.4753644","domburg","restaurant"
"6733","Vincenzo's","52.0816728","4.292609300000001","den-haag","restaurant"
"884","MEAT Franky's","51.87069579999999","4.603180499999999","ridderkerk","restaurant"
"395","Pind Punjabi Indian Restaurant","52.34955619999999","4.903746600000001","amsterdam","restaurant"
"640","Caffè Pico","52.3551989","4.8900045","amsterdam","restaurant"
"4557","Allure Lunch","51.9824164","5.906529899999999","arnhem","restaurant"
"240","Café Reynders","52.3646634","4.882987099999999","amsterdam","restaurant"
"3406","Grand Cafe Stompehoeve","52.61320689999999","4.8211721","stompetoren","restaurant"
"418","De Blaffende Vis","52.3785341","4.8832883","amsterdam","restaurant"
"518","Oceaan","52.37141630000001","4.9466742","amsterdam","restaurant_and_bar"
"802","Café ""Marcella""","52.362249","4.8982857","amsterdam","restaurant_and_bar"
"667","The Cottage","52.35612039999999","4.9272931","amsterdam","restaurant_and_bar"
"3247","Paviljoen Overdiep","53.3191012","6.8579283","appingedam","restaurant"
"403","Café Nol","52.37829","4.883390299999999","amsterdam","restaurant"
"2822","Vascobelo V-bar Rijnstraat","52.3438133","4.9064839","amsterdam","restaurant_and_bar"
"1056","1NUL8","51.92161429999999","4.481502","rotterdam","restaurant_and_bar"
"563","Cafe 't Molentje","52.3722675","4.888045899999999","amsterdam","restaurant"
"6837","Casa Sarda","52.34758840000001","5.9841399","epe","restaurant"
"6749","Tapperij Het Veulen","51.68976129999999","5.300144299999999","s-hertogenbosch","restaurant_and_bar"
"1787","Eetcafé Kromme Knilles","53.05005309999999","5.833451999999999","akkrum","restaurant"
"1793","Brasserie van Beinum","52.3811782","4.638710100000001","haarlem","restaurant"
"6871","Restaurant Dintelmond","51.648597","4.3884346","heijningen","restaurant"
"1697","Café Bolhuis","53.21280729999999","6.5561134","groningen","restaurant"
"746","Cafe Kale","52.3595298","4.8974378","amsterdam","restaurant_and_bar"
"795","Limon","52.3360831","4.8731621","amsterdam","restaurant"
"5209","Knus","52.02102","4.3704904","delft","restaurant_and_bar"
"6653","Boscafé de Zweef","51.7829796","5.8842663","malden","restaurant_and_bar"
"2347","Herberg De Drie Linden","51.6562122","5.1514778","drunen","restaurant"
"6941","Loewy bistro","51.9896067","5.911029699999999","arnhem","restaurant"
"320","Brasserie De Serre","52.3588055","4.805164","amsterdam","restaurant"
"2772","Café Falstaff","50.8487979","5.6905573","maastricht","restaurant_and_bar"
"3519","Het Station Enkhuizen","52.6996637","5.2889952","enkhuizen","restaurant"
"799","La Parole","52.3684676","4.8683179","amsterdam","restaurant"
"488","Café het Paleis","52.3723178","4.8889866","amsterdam","restaurant"
"4054","Bistrobar Beaune","52.0091712","5.9676914","rozendaal","restaurant"
"1177","De Groene Vlinder","52.3553711","4.8930242","amsterdam","restaurant"
"7164","Restaurant Noos","51.3389619","3.8244254","terneuzen","restaurant"
"4986","Eetcafé @ the Beach","52.5470495","5.4547421","lelystad","restaurant"
"5016","Herberg ""de Veerkes""","51.5453459","5.184108500000001","moergestel","restaurant"
"3282","Bij Wout","51.5449207","5.1836111","moergestel","restaurant"
"994","Venneper Lodge","52.2652934","4.5960539","nieuw-vennep","restaurant"
"596","Bar Grill Marathonweg","52.34860189999999","4.8608627","amsterdam","restaurant_and_bar"
"2721","Diggels Barendrecht","51.8577174","4.5334756","barendrecht","restaurant"
"3184","Het Hart van Vlaardingen","51.9096336","4.343403800000001","vlaardingen","restaurant"
"2195","Café A Jenne Sjlaagboom","50.864976","6.0615511","kerkrade","restaurant_and_bar"
"4585","Riverside Lounge Maastricht","50.8501257","5.694431499999999","maastricht","restaurant"
"4470","Cafe The Union","51.6911333","5.3084447","s-hertogenbosch","restaurant"
"908","Grand Café - Bistro Heren van Houten","52.0348893","5.1701007","houten","restaurant_and_bar"
"3096","Ugly Duck","53.21809529999999","6.563609100000001","groningen","restaurant"
"6963","La Piazza Woudenberg","52.0818368","5.4145029","woudenberg","restaurant"
"4229","Wolly.","51.9310036","4.4854986","rotterdam","restaurant"
"3407","Brasserie De Kerckhaen","52.5748405","4.8989882","westbeemster","restaurant"
"3568","Café Flater","52.0918946","5.1176213","utrecht","restaurant_and_bar"
"5174","Unibar","51.982376","5.911122999999999","arnhem","restaurant_and_bar"
"1101","Lokaal Duinoord","52.0817385","4.2831215","den-haag","restaurant"
"3596","Brasserie de Canette","52.3530535","4.621854600000001","heemstede","restaurant"
"4660","Grand Café de Pakschuit","52.0733914","4.3150853","den-haag","restaurant_and_bar"
"3641","Bon Appetit Lunch Restaurant & Catering","51.9707502","6.7167579","winterswijk","restaurant"
"1762","Café de Plaats Montfoort","52.0451286","4.950593400000001","montfoort","restaurant"
"24","Lowlander Botanical Bar & Restaurant","52.38204589999999","4.9202677","amsterdam","restaurant_and_bar"
"1422","Paviljoen SALT","53.0332407","5.779158700000001","terherne","restaurant"
"2940","Café Tante Truus","53.2159779","6.555656699999999","groningen","restaurant"
"4591","De Bruijn Lunchen op de Markt","51.84773310000001","5.8633368","nijmegen","restaurant"
"3827","Du Monde Bar&Kitchen","52.3007782","4.8463397","amstelveen","restaurant"
"674","Spaghetteria Olympiaplein","52.3461156","4.866899","amsterdam","restaurant"
"6876","Restaurant Lova","51.58078689999999","4.5867659","hoeven","restaurant"
"1068","Il Caffè","52.3211678","4.8751595","amstelveen","restaurant"
"5206","Queen of Hearts","52.0613889","4.493055599999999","zoetermeer","restaurant"
"1163","Bramble","53.2277527","6.559905399999999","groningen","restaurant_and_bar"
"6660","Dende","52.1590499","4.491555099999999","leiden","restaurant"
"6329","Café De Komedie","51.9351268","4.464661","rotterdam","bar"
"1622","Villa Orloff","52.09281670000001","5.1265277","utrecht","restaurant_and_bar"
"5316","Restaurant De Haas","52.44804299999999","5.835160999999999","elburg","restaurant_and_bar"
"1082","Kula","51.9092907","4.4636926","rotterdam","restaurant"
"1199","Nibbles","51.8478796","5.8610498","nijmegen","restaurant_and_bar"
"5269","Flavor's","52.090553","4.2739696","den-haag","restaurant"
"1382","De Gasterij","51.8299403","4.974898","gorinchem","restaurant"
"7190","De Stadskamer Gorinchem","51.8299581","4.9743357","gorinchem","restaurant"
"312","Gouden Kom IJburg","52.358054","4.991112","amsterdam","restaurant"
"1477","Fort aan de Klop","52.119501","5.088929","utrecht","restaurant"
"175","café40","52.3752213","4.897405599999999","amsterdam","bar"
"4006","Café Vader Klaassens","51.36803200000001","6.1709104","venlo","restaurant"
"1426","BAIANA","51.8674121","5.884856099999999","bemmel","restaurant_and_bar"
"5185","Café Suikerland","51.9674654","5.9083573","arnhem","bar"
